Layer,zh,en,math,logic
0,0.015466166763707954,0.012831281198626745,0.01095577914786562,0.012578045310582686
1,0.018301616383491363,0.017285176626581782,0.01637092224215185,0.01565025892606891
2,0.02023970613880568,0.01963261053974225,0.018397526107905935,0.01791928901783614
3,0.023723037235456816,0.021524182926440462,0.019768006744016433,0.01920119339598368
4,0.023600703667129228,0.02124579301469632,0.019466683413514308,0.019036366490445843
5,0.022735320969500667,0.021606382502060092,0.019759602450776372,0.01932027936974433
6,0.03843703887686424,0.03460004250549802,0.03157190834288444,0.027402133448557582
7,0.02772148554196245,0.0261008866441016,0.024369246075321312,0.02278150334635729
8,0.027583295561025914,0.025293841077796177,0.02338124944244723,0.022581275480708214
9,0.02797768334189194,0.025548663187588597,0.023659905680408353,0.02360225644767731
10,0.029851314588774727,0.02766602361190579,0.025745167289841074,0.02495892860559764
11,0.024691024746623436,0.02366578065715148,0.022363757267935738,0.02355609856734104
12,0.02481089054293751,0.024415225798027247,0.022780567730641587,0.02496763956893975
13,0.02720684916543478,0.02703929334151164,0.02536244142742396,0.028170453285202884
14,0.0573834673400157,0.05178508119697559,0.04705837161173631,0.043174475000874644
15,0.039436047140038066,0.039030185784231695,0.038769630668010785,0.041443290479610186
16,0.045842364613984894,0.0454057202648863,0.04479095683059619,0.04868216801075471
17,0.05046547434912894,0.05038923730218373,0.050338812944639696,0.05524562766210361
18,0.0585408319906087,0.059127716401236576,0.05843733602879584,0.06188288103792343
19,0.06256136420154836,0.062288244464090106,0.06376878456815417,0.0694969540933704
20,0.06943630510361669,0.07011898266036058,0.07471464435672034,0.07829615186036598
21,0.07557162864919358,0.07843370966599449,0.08544233212642302,0.08630539694803474
22,0.0858694982953732,0.09435347651273539,0.1017738670370783,0.09681024752791177
23,0.10254688479288517,0.12061246211557734,0.1309525004647111,0.11693708611800722
