layer,zh,en,ja,fr,de,ru,es,ko
0,0.013583459635677314,0.012566273177304549,0.01564394158055764,0.013896964763344573,0.013752920647126675,0.013843576404197162,0.01397727602940749,0.015202799609890424
1,0.01584260344876891,0.015817686516886843,0.018414824222132427,0.016978718455634374,0.017331637632723076,0.017517561649472414,0.016854095835875976,0.017899145201078537
2,0.018187537533243727,0.018922639796127596,0.01922299832592507,0.018490522153738805,0.01857383691697968,0.01916350703935573,0.01859762299131142,0.018587573862658482
3,0.020189310532185648,0.020680160520226136,0.02008889915141719,0.019944179555762297,0.02023010262932182,0.02075066866531464,0.020399267718594714,0.020079169296081695
4,0.0203608910749521,0.020211488327133192,0.02020435259481614,0.019537155483195717,0.020111797935583094,0.02075066866531464,0.01993432714381193,0.020193907406345017
5,0.020475278103463068,0.0205629924719529,0.02031980603821509,0.01971159437143854,0.020111797935583094,0.020691884901390234,0.020166797431203323,0.020423383626871666
6,0.031227658783493952,0.029526348164855446,0.028747907406338393,0.027619490638446327,0.027683298334861436,0.027863504100167535,0.028710080492837006,0.027996098904251046
7,0.023964082473047554,0.02366794575119365,0.022859781792991977,0.02232817769508082,0.022714501197835024,0.022866884166593188,0.022898323308052186,0.022546038666743158
8,0.023506534359003687,0.023140689533964087,0.022917508514691452,0.02232817769508082,0.022477891810357576,0.02216147899950034,0.0224333827332694,0.022144455280821523
9,0.02419285653006949,0.023550777702920415,0.023552502453385672,0.02279334806372834,0.022951110585312472,0.022690532874819973,0.023014558451747883,0.022546038666743158
10,0.026309016557522377,0.025601218547702042,0.025342030826069388,0.02453773694615653,0.02460737629765461,0.024395262028627695,0.024816203179031177,0.024209741265561354
11,0.023506534359003687,0.023433609654647178,0.023090688679789875,0.02238632399116176,0.02253704415722694,0.022396614055197956,0.0225496178769651,0.02197234811542654
12,0.024478824101346906,0.02454670611324292,0.024591583443976217,0.023607396208861493,0.023838395788352906,0.023689856861534842,0.02377008688576991,0.023808157879639722
13,0.027166919271354627,0.027182987199390725,0.027362466085551002,0.0261076869403419,0.026263642009996747,0.026158774946359816,0.026443495190770924,0.02638976536056451
14,0.047356229803540276,0.04546120273001552,0.043064134387808116,0.04244679613908594,0.04199816627724705,0.04150133733062928,0.04370441402958184,0.04199414835637657
15,0.040378621064371296,0.04054014470253962,0.042486867170813375,0.03814397022909641,0.038685634852562774,0.03914998677365312,0.03905500828175398,0.04096150536400665
16,0.04769939088907318,0.047804563695480244,0.04964498066154823,0.046051866496104196,0.04673035402679601,0.04702701113952326,0.046029116903495766,0.05037003040559922
17,0.05444822557122022,0.054248806350508216,0.05530219938809675,0.052564251657169436,0.05217236993877732,0.05290538753196367,0.05265452009415046,0.05599219780850209
18,0.06337041379507564,0.06315357801927415,0.06373030075622005,0.06256541458309105,0.06199165951909142,0.06442700526114688,0.06253450730828465,0.06379438930640811
19,0.06794589493551431,0.0672544597088374,0.06742481094498644,0.06721711826956622,0.06648723788116294,0.06936484143079681,0.06648650219393833,0.06815443749641444
20,0.075952986931282,0.0763935674741498,0.08012468971887086,0.08070705896034422,0.08115701990476472,0.08182699938277048,0.07950483828785632,0.08398829671275314
21,0.08327375675598386,0.08412665866018337,0.08751371009640363,0.09070822188626583,0.09180444234124989,0.09076213149927989,0.0901984715078604,0.09156101199013253
22,0.09402613743601475,0.09514045519786754,0.09952086820989436,0.10629142923595766,0.10647422436485168,0.10416482967404403,0.10507656990090954,0.10418220411909816
23,0.11255683605479139,0.11646503998359647,0.09882814754950067,0.11303639958134666,0.10931353701458106,0.10392969461834642,0.11019091622352017,0.09500315529803223
