layer,fc,code,math_reasoning,translation,chat
0,0.01095577914786562,0.012578045310582688,0.01095577914786562,0.012831281198626747,0.015466166763707954
1,0.01637092224215185,0.015650258926068913,0.01637092224215185,0.017285176626581786,0.018301616383491363
2,0.018397526107905935,0.017919289017836144,0.018397526107905935,0.019632610539742253,0.02023970613880568
3,0.019768006744016433,0.019201193395983685,0.019768006744016433,0.021524182926440465,0.023723037235456816
4,0.019466683413514308,0.019036366490445846,0.019466683413514308,0.021245793014696323,0.023600703667129228
5,0.019759602450776372,0.019320279369744335,0.019759602450776372,0.021606382502060095,0.022735320969500667
6,0.03157190834288444,0.027402133448557586,0.03157190834288444,0.03460004250549803,0.03843703887686424
7,0.024369246075321312,0.022781503346357295,0.024369246075321312,0.026100886644101602,0.02772148554196245
8,0.02338124944244723,0.022581275480708218,0.02338124944244723,0.02529384107779618,0.027583295561025914
9,0.023659905680408353,0.023602256447677314,0.023659905680408353,0.0255486631875886,0.02797768334189194
10,0.025745167289841074,0.024958928605597643,0.025745167289841074,0.027666023611905795,0.029851314588774727
11,0.022363757267935738,0.023556098567341043,0.022363757267935738,0.023665780657151483,0.024691024746623436
12,0.022780567730641587,0.024967639568939753,0.022780567730641587,0.02441522579802725,0.02481089054293751
13,0.02536244142742396,0.028170453285202887,0.02536244142742396,0.027039293341511644,0.02720684916543478
14,0.04705837161173631,0.04317447500087465,0.04705837161173631,0.0517850811969756,0.0573834673400157
15,0.038769630668010785,0.04144329047961019,0.038769630668010785,0.0390301857842317,0.039436047140038066
16,0.04479095683059619,0.048682168010754714,0.04479095683059619,0.045405720264886304,0.045842364613984894
17,0.050338812944639696,0.055245627662103614,0.050338812944639696,0.05038923730218374,0.05046547434912894
18,0.05843733602879584,0.061882881037923436,0.05843733602879584,0.05912771640123658,0.0585408319906087
19,0.06376878456815417,0.06949695409337041,0.06376878456815417,0.06228824446409011,0.06256136420154836
20,0.07471464435672034,0.078296151860366,0.07471464435672034,0.0701189826603606,0.06943630510361669
21,0.08544233212642302,0.08630539694803475,0.08544233212642302,0.0784337096659945,0.07557162864919358
22,0.1017738670370783,0.09681024752791179,0.1017738670370783,0.0943534765127354,0.0858694982953732
23,0.1309525004647111,0.11693708611800724,0.1309525004647111,0.12061246211557736,0.10254688479288517
