layer,zh,en,ja,fr,de,ru,es,ko
0,0.014756,0.013406,0.015717,0.014129,0.014726,0.014775,0.013993,0.015426
1,0.017655,0.016958,0.018447,0.018250,0.018104,0.018077,0.017809,0.017920
2,0.020652,0.020502,0.019864,0.019992,0.020449,0.020615,0.020372,0.019688
3,0.022076,0.022118,0.021379,0.021145,0.021711,0.022127,0.021736,0.021843
4,0.021673,0.021725,0.020858,0.020752,0.021433,0.021710,0.021497,0.020898
5,0.021804,0.021880,0.021202,0.021095,0.021383,0.021675,0.021718,0.021213
6,0.031957,0.032638,0.030893,0.029092,0.029550,0.030106,0.030494,0.029495
7,0.024857,0.025415,0.024105,0.023254,0.023614,0.024091,0.024188,0.023344
8,0.024230,0.024702,0.023701,0.022813,0.023154,0.023709,0.023746,0.022908
9,0.024623,0.025013,0.024065,0.023205,0.023450,0.024057,0.024078,0.023199
10,0.026487,0.026912,0.025816,0.024750,0.025089,0.025621,0.025700,0.024749
11,0.023349,0.023826,0.022894,0.022396,0.022597,0.022875,0.022861,0.022327
12,0.024277,0.024794,0.024547,0.023450,0.023745,0.024022,0.023856,0.024119
13,0.027049,0.027643,0.027607,0.025854,0.026172,0.026386,0.026253,0.027025
14,0.047298,0.048491,0.046281,0.042436,0.042963,0.044150,0.044468,0.044073
15,0.040086,0.039999,0.042483,0.037776,0.037946,0.038692,0.038642,0.040538
16,0.047766,0.047268,0.049095,0.046165,0.046112,0.046375,0.045943,0.049207
17,0.053349,0.052546,0.054073,0.051905,0.051753,0.052632,0.051990,0.054631
18,0.061778,0.061623,0.062514,0.062207,0.061002,0.062297,0.061651,0.063058
19,0.066498,0.065002,0.065820,0.066770,0.065528,0.066608,0.065559,0.067224
20,0.073879,0.072655,0.077568,0.078495,0.079236,0.079123,0.076695,0.081753
21,0.080997,0.080435,0.085163,0.088405,0.089863,0.088092,0.086872,0.089115
22,0.092573,0.093038,0.096851,0.104300,0.103900,0.101232,0.102211,0.101707
23,0.110331,0.111411,0.099055,0.111365,0.106523,0.100954,0.107668,0.094539
