layer,fc,code,math_reasoning,translation,chat
0,0.014319,0.012444,0.011897,0.013425,0.014124
1,0.017350,0.016033,0.015431,0.017422,0.017616
2,0.019452,0.019591,0.018098,0.019683,0.021020
3,0.021330,0.021031,0.019004,0.021881,0.022218
4,0.020661,0.021346,0.019341,0.021435,0.021946
5,0.020623,0.021829,0.019600,0.022136,0.021769
6,0.026890,0.033801,0.024960,0.029875,0.032918
7,0.022241,0.025697,0.021516,0.024429,0.025118
8,0.021758,0.024962,0.020895,0.023855,0.024274
9,0.022037,0.025340,0.021827,0.024747,0.024546
10,0.023803,0.027368,0.022888,0.026276,0.026452
11,0.022595,0.023459,0.022086,0.023824,0.023007
12,0.023506,0.024289,0.023665,0.024461,0.023920
13,0.025998,0.027116,0.027083,0.027072,0.027132
14,0.039052,0.050238,0.038061,0.044207,0.048465
15,0.039759,0.039518,0.039925,0.039748,0.039861
16,0.048351,0.047211,0.047641,0.046564,0.046614
17,0.054041,0.053791,0.054631,0.051214,0.051923
18,0.061665,0.062010,0.063227,0.059559,0.061235
19,0.066947,0.065772,0.070943,0.064655,0.065292
20,0.074609,0.073508,0.080782,0.074019,0.072861
21,0.087700,0.080507,0.090621,0.083828,0.080431
22,0.100495,0.092405,0.103256,0.097587,0.092574
23,0.124819,0.110734,0.122623,0.118099,0.114683
