layer,math,physics,logic,history,geography,literature
0,0.011647,0.012653,0.012062,0.013337,0.013218,0.013446
1,0.016083,0.016528,0.015782,0.017376,0.017007,0.017226
2,0.019108,0.019893,0.018482,0.020487,0.019917,0.020413
3,0.020179,0.021061,0.019890,0.021729,0.021632,0.021717
4,0.020068,0.021252,0.019838,0.021192,0.021426,0.021875
5,0.020682,0.021076,0.020384,0.021516,0.021413,0.022165
6,0.028305,0.029607,0.027886,0.032045,0.032146,0.031555
7,0.022892,0.023574,0.023063,0.024817,0.025119,0.025022
8,0.022032,0.023068,0.022422,0.023989,0.024515,0.024469
9,0.022333,0.023384,0.023105,0.024336,0.024940,0.024759
10,0.024019,0.025215,0.024618,0.026596,0.026999,0.026787
11,0.022077,0.022582,0.022885,0.023329,0.023636,0.023942
12,0.023238,0.023743,0.024156,0.024392,0.024721,0.024891
13,0.026195,0.026784,0.027266,0.027536,0.028015,0.027630
14,0.041319,0.044108,0.042449,0.048269,0.048865,0.046621
15,0.038618,0.038561,0.039906,0.039899,0.040080,0.040115
16,0.046274,0.047121,0.047471,0.047038,0.047053,0.047358
17,0.052859,0.053273,0.053986,0.052408,0.053010,0.052784
18,0.061297,0.062128,0.062602,0.062165,0.062234,0.061318
19,0.067190,0.067577,0.068864,0.065432,0.065364,0.065532
20,0.077816,0.076700,0.077837,0.074204,0.072913,0.073381
21,0.088084,0.084936,0.086285,0.081768,0.080435,0.081178
22,0.102459,0.098437,0.098179,0.093986,0.093173,0.094032
23,0.125228,0.116739,0.120580,0.112157,0.112170,0.111784
