layer,zh,en,ja,fr,de,ru,es,ko
0,0.014756,0.013406,0.015801,0.014033,0.014239,0.014671,0.013878,0.015235
1,0.017655,0.016958,0.018450,0.018053,0.017897,0.018079,0.017476,0.018027
2,0.020652,0.020502,0.019772,0.019749,0.020104,0.020372,0.019970,0.019637
3,0.022076,0.022118,0.021254,0.020970,0.021429,0.021911,0.021479,0.021403
4,0.021673,0.021725,0.020749,0.020628,0.021232,0.021359,0.021102,0.020550
5,0.021804,0.021880,0.021175,0.020970,0.021485,0.021717,0.021534,0.021111
6,0.031957,0.032638,0.030883,0.029965,0.030244,0.030950,0.031063,0.029825
7,0.024857,0.025415,0.024085,0.023754,0.024196,0.024655,0.024456,0.023567
8,0.024230,0.024702,0.023651,0.023252,0.023692,0.024196,0.023977,0.023103
9,0.024623,0.025013,0.024014,0.023559,0.023902,0.024484,0.024346,0.023395
10,0.026487,0.026912,0.025754,0.025185,0.025493,0.026054,0.025965,0.025109
11,0.023349,0.023826,0.022825,0.022470,0.022844,0.023061,0.022987,0.022534
12,0.024277,0.024794,0.024502,0.023524,0.023944,0.024149,0.024056,0.024211
13,0.027049,0.027643,0.027582,0.026015,0.026460,0.026621,0.026609,0.027160
14,0.047298,0.048491,0.046236,0.043837,0.043726,0.045267,0.045393,0.044768
15,0.040086,0.039999,0.042385,0.037934,0.038078,0.038739,0.038762,0.040621
16,0.047766,0.047268,0.049111,0.045680,0.045534,0.046045,0.045550,0.048931
17,0.053349,0.052546,0.054134,0.051569,0.051280,0.052076,0.051568,0.054291
18,0.061778,0.061623,0.062565,0.061827,0.060964,0.062289,0.061373,0.063065
19,0.066498,0.065002,0.065973,0.066377,0.065533,0.066627,0.065379,0.067227
20,0.073879,0.072655,0.077883,0.078436,0.078819,0.078627,0.076519,0.081481
21,0.080997,0.080435,0.085479,0.088317,0.089358,0.087488,0.086387,0.088698
22,0.092573,0.093038,0.097087,0.103809,0.102756,0.099862,0.101314,0.101035
23,0.110331,0.111411,0.098649,0.110089,0.106792,0.100701,0.108856,0.095016
